"County","Population in the County","Percentage of County population within service areas of WSPs","Water Coverage %","Sewerage Coverage %","hrs of supply","NRW %","O+M cost coverage %","Unit cost of water produced Ksh/m3","Unit operating cost of water billed Ksh/m3","Average tariff Ksh/m3","Weighted Score","WSPs in the County","Lat","Lon"
"Baringo",631638,"6%","42%","0%",10,"69%","Eldama Ravine:22","KES63.00","KES207.00","KES43.00",40,"Eldama Ravine",0.512912,35.952537
"Bungoma",1697243,"24%","80%","31%",22,"38%","Nzoia:92","KES50.00","KES78.00","KES67.00",109,"Nzoia",0.737046,34.672536
"Busia",858259,"47%","72%","13%",20,"39%","Kakamega Busia:124","KES68.00","KES67.00","KES76.00",112,"Kakamega Busia",0.428414,34.210571
"Elgeyo- Marakwet",424781,"12%","18%","0%",12,"32%","Iten Tambach:25",,,"KES52.00",57,"Iten Tambach",0.806011,35.564093
"Embu",561607,"84%","61%","6%",22,"44%","Embe: 50 Embu: 167 Ngandori Nginda:139 Kyeni: 183 Ngagaka: 115","KES25.00","KES37.00","KES41.00",100,"Embe, Embu, Ngandori Nginda, Kyeni, Ngagaka",-0.5982,37.653906
"Garissa",747177,"20%","61%","5%",22,"42%","Garissa 93","KES34.00","KES53.00","KES47.00",61,"Garissa",-0.564679,40.408457
"Homa Bay",1101125,"11%","26%","14%",7,"31%","South Nyanza:49","KES42.00","KES59.00","KES28.00",76,"South Nyanza",-0.640985,34.411083
"Isiolo",153968,"41%","53%","10%",12,"35%","Isiolo:90","KES62.00","KES91.00","KES77.00",111,"Isiolo",0.949302,38.614718
"Kajiado",856926,"66%","32%","0%",12.491,"57%","Oloolaiser: 95 Olkejuado: 39 Nolturesh-Loitoktok: 51 Namanga:96","KES43.00","KES86.00","KES61.00",43,"Oloolaiser, Olkejuado, Nolturesh-Loitoktok, Namanga",-2.221971,36.980268
"Kakamega",1844304,"22%","72%","13%",20,"39%","Kakamega-Busia:124","KES68.00","KES67.00","KES76.00",112,"Kakamega-Busia",0.308499,34.654844
